TODO;chapitre;ateliers;option scrum;atelier scrum;;todo :;;;;;;;
;;;;;;;;;;;;;Marshmallow
;Présentations;Ice-Breaker : touriste / prisonnier;;;;;;;;;;;"brainstorming tripple nickel
"
;;brainstorming;;;;autre ice-breaker ?;;;;;;;
;Pourquoi ?;Coin-toss;;;;prévoir matériel pour coin-toss;;;;;;;
;Manifeste, Principes, Valeurs;;;;;;;;;;;;
;Méthodes;;;;;LSD;;;;;;;
xxx;Freins;;;;;Frein !;;;;;;;
;;;;;;;;;;;;;
;Specs :;;;;;;;;;;;;
todo;;Artiste / spécifieurs;+ epics ?;;;epics;;;;;;;
;;Open-ended specs;;;;;;;;;;;
réécrire;US;;;;;Changer d’exemple ?;2 exos ? Un de rédaction d’US, un de découpage, ATDD ?;;;;;granularité US : cf exemple  fouache p63;
;ATDD;Elephant-carpaccio;;;;exos avec tests d’acceptance à rédiger ?;;;;;;;
réécrire;UX / personnas; ???;;;;rédaction de personnas ?;diapos UX;;;;;;
;;;;;;;;;;;;;
;Scrum :;;;;;;;;;;;;
;principe;;;;;;;;;;;;
;PO;;+;;;;;;;;;;
;Dev;;+;;;;;;;;;;
todo;SM;;+ coaching;;;écrire diapos posture coaching ?;;;;;;;
todo;;;+  différence posture CdP;;;;;;;;;;
;les autres;;;;;;;;;;;;
todo;refinment;;+;equivalent elephant ?;;refinment : diapos avec exemples de détails plus on se raproche du sprint;;;;;;;
;Planning;Poker;;;;;;;;;;;
;;extreme;;;;;;;;;;;
todo;Daily;;;scrum from hell;;réécrire;;;;;;;
;Review;;;;;;;;;;;;
;Retro;speedboat (décalé en fin de formation);;autre type de rétro ?;;retro timing.;;;;;;;
;DoD;;;en proposer une ensemble ?;;avoir des liste de prêtes;;;;;;;
;;;;;;;;;;;;;
;Outils;;;au tableau;;liste d’outils info (jira, trello);imprimer au tableau / matériel;;;;;;
;;;+ burnup/down;lecture burdown, estimation ?;;nikoniko ?;;;;;;;
;Contrat;;;;;;;;;;;;
;;;;;;;;;;;;;
;Qualité;;;;;;;;;;;;
;XP;;;;;exemple refactoring.;;;;;;;
;Tests;;;;;Atelier écriture ATDD  → elephant ?;;;;;;;
;;exemple fizzbuzz ?;;;;;;;;;;;
;CI / Auto;;;;;;;;;;;;
;Pair-prog, revue;;;;;;;;;;;;
;;;;;;;;;;;;;
;Kanban;décrire son process ?;;;;need jeux kanban;+ de diapos;;;;;;
;;;;;;Kanban Game ?;exemple hors IT;;;;;;
;Scaling;;+;;;scrum de scrum, nexus ?;;;;;;;
;;;;;;epic, release;;;;;;;
;;;;;;capitalisation d’informations;;;;;;;
;Entreprise, orga;;;;;à revoir;;;;;;;
;Management 3.0;;;delegation poker;;d’autres pratiques;Tannenbaum & Schmidt;;;;;;
